t,Cambio Tiempo,x,y,Cambio x,Cambio y,d,r,v,a,Energia Cinetica,Energia Potencial,Energia total,Fuerza,Trabajo,Potencia,Impulso,Momentum
0.000,0.000,0.300,0.482,0.300,0.482,0.568,0.568,0.000,0.000,0.000,3.310,3.310,0.000,0.000,0.000,0.000,0.000
0.033,0.033,0.277,0.447,-0.023,-0.035,0.042,0.526,1.642,0.000,0.944,3.070,4.013,0.000,0.000,0.000,0.000,1.149
0.067,0.034,0.261,0.380,-0.016,-0.067,0.069,0.461,2.293,17.260,1.840,2.609,4.450,12.082,0.831,24.450,0.411,1.605
0.100,0.033,0.239,0.299,-0.022,-0.081,0.084,0.383,2.742,4.672,2.631,2.053,4.685,3.270,0.274,8.313,0.108,1.919
0.133,0.033,0.211,0.204,-0.028,-0.095,0.099,0.294,2.463,16.800,2.123,1.401,3.524,11.760,1.165,35.293,0.388,1.724
0.167,0.034,0.181,0.145,-0.031,-0.059,0.066,0.232,1.582,22.120,0.876,0.996,1.872,15.484,1.029,30.276,0.526,1.107
0.200,0.033,0.160,0.111,-0.020,-0.034,0.040,0.195,1.022,19.880,0.366,0.762,1.128,13.916,0.551,16.705,0.459,0.715
0.233,0.033,0.142,0.089,-0.018,-0.022,0.028,0.168,0.395,39.280,0.055,0.611,0.665,27.496,0.783,23.724,0.907,0.277
0.267,0.034,0.138,0.097,-0.004,0.008,0.009,0.169,1.537,80.510,0.827,0.665,1.492,56.357,0.503,14.793,1.916,1.076
0.300,0.033,0.225,0.150,0.086,0.053,0.101,0.270,5.058,85.800,8.954,1.030,9.984,60.060,6.082,184.310,1.982,3.541
0.333,0.033,0.434,0.258,0.210,0.108,0.236,0.506,7.525,24.790,19.819,1.772,21.591,17.353,4.094,124.069,0.573,5.268
0.367,0.034,0.675,0.372,0.240,0.114,0.266,0.770,6.619,44.280,15.334,2.555,17.888,30.996,8.241,242.392,1.054,4.633
0.400,0.033,0.842,0.428,0.167,0.056,0.176,0.944,4.478,59.420,7.018,2.939,9.957,41.594,7.337,222.348,1.373,3.135
0.433,0.033,0.964,0.446,0.122,0.018,0.123,1.062,2.913,43.270,2.970,3.063,6.033,30.289,3.732,113.106,1.000,2.039
0.467,0.034,1.035,0.449,0.071,0.003,0.071,1.128,1.602,35.790,0.898,3.083,3.982,25.053,1.783,52.446,0.852,1.121
0.500,0.033,1.070,0.452,0.036,0.003,0.036,1.162,0.578,29.320,0.117,3.104,3.221,20.524,0.731,22.163,0.677,0.405
0.533,0.033,1.073,0.445,0.003,-0.007,0.008,1.162,0.564,27.580,0.111,3.056,3.167,19.306,0.146,4.421,0.637,0.395
0.567,0.034,1.052,0.420,-0.021,-0.025,0.033,1.133,1.363,20.630,0.650,2.884,3.534,14.441,0.475,13.960,0.491,0.954
0.600,0.033,1.001,0.391,-0.051,-0.029,0.059,1.074,1.848,17.400,1.195,2.685,3.880,12.180,0.719,21.779,0.402,1.294
0.633,0.033,0.940,0.368,-0.060,-0.023,0.065,1.010,2.163,20.750,1.637,2.527,4.165,14.525,0.940,28.485,0.479,1.514
0.667,0.034,0.859,0.362,-0.081,-0.006,0.081,0.932,2.957,18.640,3.060,2.486,5.546,13.048,1.056,31.064,0.444,2.070
0.700,0.033,0.743,0.355,-0.116,-0.007,0.116,0.824,3.458,5.622,4.185,2.438,6.623,3.935,0.457,13.859,0.130,2.421
0.733,0.033,0.629,0.346,-0.114,-0.009,0.114,0.718,3.247,14.900,3.690,2.376,6.066,10.430,1.193,36.146,0.344,2.273
0.767,0.034,0.528,0.331,-0.101,-0.015,0.102,0.623,2.495,25.150,2.179,2.273,4.452,17.605,1.799,52.901,0.599,1.747
0.800,0.033,0.464,0.333,-0.065,0.002,0.065,0.571,1.685,24.800,0.994,2.287,3.280,17.360,1.125,34.079,0.573,1.180
0.833,0.033,0.419,0.358,-0.044,0.025,0.051,0.551,1.329,15.420,0.618,2.458,3.077,10.794,0.548,16.613,0.356,0.930
0.867,0.034,0.390,0.382,-0.030,0.024,0.038,0.546,1.204,7.534,0.507,2.623,3.131,5.274,0.201,5.903,0.179,0.843
0.900,0.033,0.367,0.419,-0.023,0.037,0.043,0.557,1.271,1.378,0.565,2.877,3.443,0.965,0.042,1.271,0.032,0.890
0.933,0.033,0.344,0.453,-0.023,0.034,0.041,0.569,1.112,9.071,0.433,3.111,3.544,6.350,0.260,7.884,0.210,0.778
0.967,0.034,0.319,0.475,-0.025,0.022,0.033,0.572,0.818,12.650,0.234,3.262,3.496,8.855,0.296,8.715,0.301,0.573
1.000,0.033,0.298,0.483,-0.020,0.008,0.022,0.568,0.325,11.350,0.037,3.317,3.354,7.945,0.174,5.284,0.262,0.228
1.033,0.033,0.298,0.482,0.000,-0.001,0.001,0.567,0.013,5.606,0.000,3.310,3.310,3.924,0.004,0.119,0.129,0.009
1.067,0.034,0.298,0.482,0.000,0.000,0.000,0.567,0.003,0.194,0.000,3.310,3.310,0.136,0.000,0.000,0.005,0.002
1.100,0.033,0.298,0.482,0.000,0.000,0.000,0.567,0.001,0.000,0.000,3.310,3.310,0.000,0.000,0.000,0.000,0.001
1.133,0.033,0.298,0.482,0.000,0.000,0.000,0.567,0.000,0.000,0.000,3.310,3.310,0.000,0.000,0.000,0.000,0.000
