t,Cambio Tiempo,x,y,Cambio x,Cambio y,d,r,v,a,Energia Cinetica,Energia Potencial,Energia Total,Fuerza,Trabajo,Potencia,Impulso,Momentum
0.000,0.000,0.214,0.554,0.214,0.554,0.594,0.594,0.000,0.000,0.000,3.804,3.804,0.000,0.000,0.000,0.000,0.000
0.033,0.033,0.196,0.495,-0.018,-0.059,0.062,0.532,1.721,0.000,1.037,3.399,4.436,0.000,0.000,0.000,0.000,1.205
0.067,0.034,0.169,0.448,-0.027,-0.047,0.054,0.479,1.873,11.790,1.228,3.076,4.304,8.253,0.447,13.157,0.281,1.311
0.100,0.033,0.187,0.371,0.018,-0.077,0.079,0.415,2.187,6.848,1.674,2.548,4.222,4.794,0.379,11.487,0.158,1.531
0.133,0.033,0.186,0.303,-0.001,-0.068,0.068,0.356,1.756,23.180,1.079,2.081,3.160,16.226,1.103,33.439,0.535,1.229
0.167,0.034,0.195,0.254,0.009,-0.049,0.050,0.320,1.578,17.150,0.872,1.744,2.616,12.005,0.598,17.591,0.408,1.105
0.200,0.033,0.267,0.236,0.072,-0.018,0.074,0.356,1.591,24.880,0.886,1.621,2.507,17.416,1.293,39.168,0.575,1.114
0.233,0.033,0.285,0.197,0.018,-0.039,0.043,0.346,0.592,25.760,0.123,1.353,1.475,18.032,0.775,23.471,0.595,0.414
0.267,0.034,0.302,0.253,0.017,0.056,0.059,0.394,1.370,19.630,0.657,1.737,2.394,13.741,0.804,23.652,0.467,0.959
0.300,0.033,0.329,0.277,0.027,0.024,0.036,0.430,1.738,73.450,1.057,1.902,2.959,51.415,1.857,56.284,1.697,1.217
0.333,0.033,0.416,0.272,0.087,-0.005,0.087,0.497,5.551,155.100,10.785,1.868,12.653,108.570,9.461,286.702,3.583,3.886
0.367,0.034,0.688,0.365,0.272,0.093,0.287,0.779,12.260,188.300,52.608,2.506,55.114,131.810,37.890,1114.413,4.482,8.582
0.400,0.033,1.144,0.644,0.456,0.279,0.535,1.313,16.860,187.200,99.491,4.422,103.913,131.040,70.052,2122.773,4.324,11.802
0.433,0.033,1.409,1.227,0.265,0.583,0.640,1.869,16.470,257.300,94.941,8.426,103.367,180.110,115.343,3495.233,5.944,11.529
0.467,0.034,1.313,1.729,-0.096,0.502,0.511,2.171,12.430,291.500,54.077,11.873,65.950,204.050,104.289,3067.333,6.938,8.701
0.500,0.033,0.957,1.922,-0.356,0.193,0.405,2.147,10.640,234.000,39.623,13.198,52.822,163.800,66.331,2010.028,5.405,7.448
0.533,0.033,0.608,1.804,-0.349,-0.118,0.368,1.904,9.588,160.200,32.175,12.388,44.563,112.140,41.313,1251.920,3.701,6.712
0.567,0.034,0.434,1.554,-0.174,-0.250,0.305,1.614,7.705,113.500,20.778,10.671,31.450,79.450,24.200,711.759,2.701,5.394
0.600,0.033,0.393,1.338,-0.041,-0.216,0.220,1.394,4.892,98.430,8.376,9.188,17.564,68.901,15.148,459.041,2.274,3.424
0.633,0.033,0.418,1.229,0.025,-0.109,0.112,1.298,2.178,82.500,1.660,8.440,10.100,57.750,6.458,195.703,1.906,1.525
0.667,0.034,0.465,1.211,0.047,-0.018,0.050,1.298,1.963,43.110,1.349,8.316,9.665,30.177,1.519,44.670,1.026,1.374
0.700,0.033,0.548,1.240,0.083,0.029,0.088,1.356,2.953,54.980,3.052,8.515,11.567,38.486,3.384,102.537,1.270,2.067
0.733,0.033,0.660,1.239,0.112,-0.001,0.112,1.403,5.365,0.000,10.074,8.508,18.582,0.000,0.000,0.000,0.000,3.756
0.767,0.034,0.905,1.255,0.245,0.016,0.246,1.548,0.000,0.000,0.000,8.618,8.618,0.000,0.000,0.000,0.000,0.000
